Activity,Period Start,Period Length,Target Response Days,Average Days to Complete Activity,Total Completed Requests,Period
Alley Grading-Unimproved,12/10/2018,Week,180,1,8,12/10/2018 - 12/16/2018
Alley Grading-Unimproved,11/26/2018,Week,180,171.58,9,11/26/2018 - 12/02/2018
Alley Grading-Unimproved,11/19/2018,Week,180,7.83,4,11/19/2018 - 11/25/2018
Alley Grading-Unimproved,10/29/2018,Week,180,186.53,4,10/29/2018 - 11/04/2018
Alley Grading-Unimproved,10/22/2018,Week,180,146.95,3,10/22/2018 - 10/28/2018
Alley Grading-Unimproved,09/17/2018,Week,180,124.7,19,09/17/2018 - 09/23/2018
Alley Grading-Unimproved,09/10/2018,Week,180,142.35,2,09/10/2018 - 09/16/2018
Alley Grading-Unimproved,08/13/2018,Week,180,47.13,4,08/13/2018 - 08/19/2018
Alley Grading-Unimproved,08/06/2018,Week,180,30.44,2,08/06/2018 - 08/12/2018
Alley Grading-Unimproved,07/30/2018,Week,180,490.33,20,07/30/2018 - 08/05/2018
Alley Grading-Unimproved,07/23/2018,Week,180,361.5,5,07/23/2018 - 07/29/2018
Alley Grading-Unimproved,07/09/2018,Week,180,252.84,1,07/09/2018 - 07/15/2018
Alley Grading-Unimproved,06/11/2018,Week,180,356.57,4,06/11/2018 - 06/17/2018
Alley Grading-Unimproved,06/04/2018,Week,180,668.35,11,06/04/2018 - 06/10/2018
Alley Grading-Unimproved,05/14/2018,Week,180,418.88,1,05/14/2018 - 05/20/2018
Alley Grading-Unimproved,04/23/2018,Week,180,487.07,21,04/23/2018 - 04/29/2018
Alley Grading-Unimproved,04/16/2018,Week,180,516.68,30,04/16/2018 - 04/22/2018
Alley Grading-Unimproved,01/29/2018,Week,180,597.77,32,01/29/2018 - 02/04/2018
Alley Grading-Unimproved,01/15/2018,Week,180,561.67,59,01/15/2018 - 01/21/2018
Alley Grading-Unimproved,11/27/2017,Week,180,751.56,9,11/27/2017 - 12/03/2017
Alley Grading-Unimproved,11/20/2017,Week,180,557.5,16,11/20/2017 - 11/26/2017
Alley Grading-Unimproved,11/13/2017,Week,180,619.4,13,11/13/2017 - 11/19/2017
Alley Grading-Unimproved,11/06/2017,Week,180,338.48,10,11/06/2017 - 11/12/2017
Alley Grading-Unimproved,10/30/2017,Week,180,1,3,10/30/2017 - 11/05/2017
Alley Grading-Unimproved,09/25/2017,Week,180,1.83,5,09/25/2017 - 10/01/2017
Alley Grading-Unimproved,09/11/2017,Week,180,1467.08,7,09/11/2017 - 09/17/2017
Alley Grading-Unimproved,09/04/2017,Week,180,1535.22,6,09/04/2017 - 09/10/2017
Alley Grading-Unimproved,08/28/2017,Week,180,1071.8,44,08/28/2017 - 09/03/2017
Alley Grading-Unimproved,08/21/2017,Week,180,1,5,08/21/2017 - 08/27/2017
Alley Grading-Unimproved,08/14/2017,Week,180,556.56,5,08/14/2017 - 08/20/2017
Alley Grading-Unimproved,08/07/2017,Week,180,1189.55,9,08/07/2017 - 08/13/2017
Alley Grading-Unimproved,07/31/2017,Week,180,1305.83,29,07/31/2017 - 08/06/2017
Alley Grading-Unimproved,07/24/2017,Week,180,1417.31,8,07/24/2017 - 07/30/2017
Alley Grading-Unimproved,07/10/2017,Week,180,357.38,31,07/10/2017 - 07/16/2017
Alley Grading-Unimproved,06/19/2017,Week,180,487.06,7,06/19/2017 - 06/25/2017
Alley Grading-Unimproved,06/12/2017,Week,180,1055.2,11,06/12/2017 - 06/18/2017
Alley Grading-Unimproved,06/05/2017,Week,180,246.23,10,06/05/2017 - 06/11/2017
Alley Grading-Unimproved,05/29/2017,Week,180,1260.67,21,05/29/2017 - 06/04/2017
Alley Grading-Unimproved,05/22/2017,Week,180,1116.66,13,05/22/2017 - 05/28/2017
Alley Grading-Unimproved,05/15/2017,Week,180,1103.4,62,05/15/2017 - 05/21/2017
Alley Grading-Unimproved,05/08/2017,Week,180,1025.27,13,05/08/2017 - 05/14/2017
Alley Grading-Unimproved,05/01/2017,Week,180,997.96,8,05/01/2017 - 05/07/2017
Alley Grading-Unimproved,04/24/2017,Week,180,217.14,6,04/24/2017 - 04/30/2017
Alley Grading-Unimproved,03/27/2017,Week,180,115.08,11,03/27/2017 - 04/02/2017
Alley Grading-Unimproved,03/20/2017,Week,180,211.81,1,03/20/2017 - 03/26/2017
Alley Grading-Unimproved,03/13/2017,Week,180,247.56,16,03/13/2017 - 03/19/2017
Alley Grading-Unimproved,02/20/2017,Week,180,135.79,11,02/20/2017 - 02/26/2017
Alley Grading-Unimproved,01/30/2017,Week,180,53.05,2,01/30/2017 - 02/05/2017
Alley Grading-Unimproved,01/09/2017,Week,180,43.08,1,01/09/2017 - 01/15/2017
Alley Grading-Unimproved,12/19/2016,Week,180,1,1,12/19/2016 - 12/25/2016
Alley Grading-Unimproved,12/12/2016,Week,180,9.53,2,12/12/2016 - 12/18/2016
Alley Grading-Unimproved,11/28/2016,Week,180,8.9,1,11/28/2016 - 12/04/2016
Alley Grading-Unimproved,06/13/2016,Week,180,1079.02,1,06/13/2016 - 06/19/2016
Alley Grading-Unimproved,06/06/2016,Week,180,110.88,1,06/06/2016 - 06/12/2016
Alley Grading-Unimproved,05/23/2016,Week,180,435.22,11,05/23/2016 - 05/29/2016
Alley Grading-Unimproved,05/02/2016,Week,180,557.13,6,05/02/2016 - 05/08/2016
Alley Grading-Unimproved,04/04/2016,Week,180,1,1,04/04/2016 - 04/10/2016
Alley Grading-Unimproved,03/21/2016,Week,180,539.86,11,03/21/2016 - 03/27/2016
Alley Grading-Unimproved,03/14/2016,Week,180,24.52,2,03/14/2016 - 03/20/2016
Alley Grading-Unimproved,02/29/2016,Week,180,615.22,6,02/29/2016 - 03/06/2016
Alley Grading-Unimproved,02/08/2016,Week,180,445.98,6,02/08/2016 - 02/14/2016
Alley Grading-Unimproved,02/01/2016,Week,180,149.28,3,02/01/2016 - 02/07/2016
Alley Grading-Unimproved,01/25/2016,Week,180,25.02,2,01/25/2016 - 01/31/2016
Alley Grading-Unimproved,01/18/2016,Week,180,1,3,01/18/2016 - 01/24/2016
Alley Grading-Unimproved,01/04/2016,Week,180,359.55,3,01/04/2016 - 01/10/2016
Alley Grading-Unimproved,12/21/2015,Week,180,6.66,3,12/21/2015 - 12/27/2015
Alley Grading-Unimproved,12/07/2015,Week,180,1,1,12/07/2015 - 12/13/2015
Alley Grading-Unimproved,11/30/2015,Week,180,1,1,11/30/2015 - 12/06/2015
Alley Grading-Unimproved,11/23/2015,Week,180,110.96,2,11/23/2015 - 11/29/2015
Alley Grading-Unimproved,10/19/2015,Week,180,436.7,12,10/19/2015 - 10/25/2015
Alley Grading-Unimproved,10/12/2015,Week,180,21.92,1,10/12/2015 - 10/18/2015
Alley Grading-Unimproved,09/14/2015,Week,180,440.65,2,09/14/2015 - 09/20/2015
Alley Grading-Unimproved,08/03/2015,Week,180,1,1,08/03/2015 - 08/09/2015
Alley Grading-Unimproved,07/13/2015,Week,180,14.11,5,07/13/2015 - 07/19/2015
Alley Grading-Unimproved,07/06/2015,Week,180,1,1,07/06/2015 - 07/12/2015
Alley Grading-Unimproved,06/15/2015,Week,180,73.12,1,06/15/2015 - 06/21/2015
Alley Grading-Unimproved,06/08/2015,Week,180,328.99,1,06/08/2015 - 06/14/2015
Alley Grading-Unimproved,06/01/2015,Week,180,174.77,16,06/01/2015 - 06/07/2015
